tho,てょ,
thu,てゅ,
ti,ち,
tj,てん,
tk,つん,
tn',ちゃい,
"tn,",ちょう,
tn.,ちぇい,
tn;,ちゃん,
tna,ちゃ,
tne,ちぇ,
tni,ちぃ,
tnj,てぇん,
tnk,ちゅん,
tno,ちょ,
tnp,ちゅう,
tnq,ちょん,
tnu,ちゅ,
tnx,てぃん,
to,と,
tp,つう,
tq,とん,
tsa,つゃ,
tse,つぇ,
tsi,つぃ,
tso,つょ,
tsu,つ,
tt,っ,t
tu,つ,
twa,とぁ,
twe,とぇ,
twi,とぃ,
two,とぉ,
twu,とぅ,
tx,ちん,
u,う,
v',ぱい,
"v,",ぽう,
v.,ぺい,
v;,ぱん,
va,ぱ,
ve,ぺ,
vh',ぴゃい,
"vh,",ぴょう,
vh.,ぴぇい,
vh;,ぴゃん,
vha,ぴゃ,
vhe,ぴぇ,
vhi,ぴぃ,
vhj,ぴぇん,
vhk,ぴゅん,
vho,ぴょ,
vhp,ぴゅう,
vhq,ぴょん,
vhu,ぴゅ,
vhx,ぴぃん,
vi,ぴ,
vj,ぺん,
vk,ぷん,
vna,ぴゃ,
vne,ぴぇ,
vni,ぴぃ,
vno,ぴょ,
vnu,ぴゅ,
vo,ぽ,
vp,ぷう,
vv,っ,v
vq,ぽん,
vu,ぷ,
vx,ぴん,
"vy,",ぴょう,
w',わい,
w;,わん,
wa,わ,
we,うぇ,
wha,うぁ,
whe,うぇ,
whi,うぃ,
who,うぉ,
whu,う,
wi,うぃ,
wo,を,
wye,ゑ,
wyi,ゐ,
xa,ぁ,
xe,ぇ,
xi,ぃ,
xka,ヵ,
xke,ヶ,
xn,ん,
xo,ぉ,
xtsu,っ,
xtu,っ,
xu,ぅ,
xwa,ゎ,
xx,っ,x
xya,ゃ,
xye,ぇ,
xyi,ぃ,
xyo,ょ,
xyu,ゅ,
y',やい,
"y,",よう,
y.,いぇい,
y;,やん,
ya,や,
ye,いぇ,
yi,い,
yk,ゆん,
yo,よ,
yq,よん,
yu,ゆ,
yy,っ,y
z',ざい,
"z,",ぞう,
z.,ぜい,
z;,ざん,
za,ざ,
ze,ぜ,
zh',じゃい,
"zh,",じょう,
zh.,じぇい,
zh;,じゃん,
zha,じゃ,
zhe,じぇ,
zhi,じぃ,
zhj,じぇん,
zhk,じゅん,
zho,じょ,
zhp,じゅう,
zhq,じょん,
zhu,じゅ,
zhx,じぃん,
zi,じ,
zj,ぜん,
zk,ずん,
zo,ぞ,
zp,ずう,
zq,ぞん,
zu,ず,
zx,じん,
zz,っ,z
/a,ぁ,
/e,ぇ,
/i,ぃ,
/ka,ヵ,
/ke,ヶ,
/n,ん,
/o,ぉ,
/tsu,っ,
/tu,っ,
/u,ぅ,
/wa,ゎ,
//,っ,/
/ya,ゃ,
/ye,ぇ,
/yi,ぃ,
/yo,ょ,
/yu,ゅ,
/ha,ゃ,
/hu,ゅ,
/ho,ょ,
/',あい,
"/,",おう,
/.,えい,
/p,うう,
/;,あん,
/x,いん,
/k,うん,
/j,えん,
/q,おん,
~,〜,
`,〜,
=,・,
,,
cg,く,g
cs,く,s
ct,く,t
cd,く,d
cb,く,b
cv,く,v
cm,く,m
cr,く,r
gr,ぐ,r
sc,す,c
sg,す,g
st,す,t
sd,す,d
sb,す,b
sv,す,v
sm,す,m
sr,す,r
zr,ず,r
tr,と,r
dr,ど,r
hr,ふ,r
br,ぶ,r
vr,ぷ,r
,,
dy,です,
my,ます,
